Quantum,MeanDelay,MeanSlowdown,50th,99th,50th_sldn,99th_sldn
0.1,350.5795651090507,1.1347057171271517,0.7030115872621536,5871.998771104962,1.0501611175317496,2.331925841579578
1,330.8532905001016,1.7251293562010208,1.2854177989065647,5611.356608564034,1.3679920466142808,4.974881073943057
10,306.1475495528222,7.65261932502021,7.3456959165632725,5767.78558322601,3.407880241256819,38.18568781863684
100,335.27923184002077,62.372043070459526,56.34055935777724,5654.435533225536,19.84827524287456,349.3074874524774
1000,654.1139860146781,509.42601324046484,303.50301030650735,5839.839338283986,92.76353430803265,3272.8175735161453
10000,2001.7886169467201,2521.9519989044265,905.2748471274972,9748.845497116446,201.70106196110038,22685.82830592364
100000,1916.3380476652658,2434.4577848905565,802.5192565452307,9714.254548408091,152.68283583691795,23143.900136909935
1e+06,2046.6887702458948,2564.630170932804,911.8434659522027,9857.954661464319,201.81366785345068,23166.866778617496
1e+07,1899.78840553608,2413.291438703281,826.8335721699514,9551.49394801096,168.73796786482475,22253.62172400003
1e+08,1890.447754926703,2368.885891227583,809.1995942279464,9496.88400265202,163.24139175456125,21638.982912054427
1e+09,1922.2761652867182,2425.9311854824864,827.1246877741069,9521.883379513398,168.86198280829566,22054.505937589067
